mapping_id,fos_sheet,fos_sector,fos_product_group,fos_product_type,suggested_fca_product_group,suggestion_basis,review_decision,approved_fca_product_group,reviewer,reviewed_at,review_comment
FOS-1660E33DD7,Banking and Credit,Consumer Credit,Finance Linked to Goods and Services,Store Card Accounts,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-74E46140EA,Banking and Credit,Consumer Credit,Loans,Crowdfunding (Loan-based ),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-0BAE004838,Banking and Credit,Consumer Credit,Loans,Guarantor Loans,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-5FD51AA709,Banking and Credit,Consumer Credit,Loans,Home Credit,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-85706F2ECD,Banking and Credit,Consumer Credit,Loans,Logbook Loans,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-9FCAD5FC40,Banking and Credit,Consumer Credit,Loans,Pawnbroking,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-ABA9505AFC,Banking and Credit,Consumer Credit,Loans,Peer to peer lending (Borrowing money),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-58A1D06F42,Banking and Credit,Consumer Credit,Loans,Personal Loans,consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-B8AB9FD1B8,Banking and Credit,Consumer Credit,Loans,Short Term Lending (Instalment Loans),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-A2AEFE6C56,Banking and Credit,Consumer Credit,Loans,Short Term Lending (Payday Loans),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-25A4A7DADA,Banking and Credit,Consumer Credit,Loans,Short Term Lending (Running Account Credit),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-2642ADA4E5,Banking and Credit,Mortgages,Buy-to-let Mortgages,Buy-to-let Mortgage (Consumer or Non-consumer),home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-D0C8825017,Banking and Credit,Mortgages,Equity Release,Home Reversion Plans,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-91E29EF2D5,Banking and Credit,Mortgages,Equity Release,Lifetime Mortgage,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-FBBFCF63D6,Banking and Credit,Mortgages,Equity Release,Shared Appreciation Mortgage,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-07AB111455,Banking and Credit,Mortgages,Non-Mortgage Residential Finance,,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-8ACAEED7C4,Banking and Credit,Mortgages,Non-Mortgage Residential Finance,Home Purchase Plans,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-1D8D3CDE0F,Banking and Credit,Mortgages,Non-Mortgage Residential Finance,Sale and Rent Back,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-9658CCA2B9,Banking and Credit,Mortgages,Residential Mortgages,Bridging Loan,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-2E588F0B7A,Banking and Credit,Mortgages,Residential Mortgages,First Charge Mortgage,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-AD2E4B252F,Banking and Credit,Mortgages,Residential Mortgages,Help to Buy and Shared Equity Loans,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-F5E020ADE8,Banking and Credit,Mortgages,Residential Mortgages,Second Charge Mortgage,home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-B6DC2C649E,Funeral Planning Services,Funeral Planning Services,Funeral Plans,Pre-paid Funeral Plans,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-B8344CA9E4,Insurance,Insurance,Animal Insurance,Horse Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-67B2009B0A,Insurance,Insurance,Animal Insurance,Livestock Insurance,investments,investment_keyword,pending_review,,,,
FOS-B524D3DEDD,Insurance,Insurance,Animal Insurance,Pet Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-9D72D49AC4,Insurance,Insurance,Household and Commercial Property Insurance,Building Guarantees,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-967C7A1F12,Insurance,Insurance,Household and Commercial Property Insurance,Buildings Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-B610C7F623,Insurance,Insurance,Household and Commercial Property Insurance,Commercial Property Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-1AE21A4A20,Insurance,Insurance,Household and Commercial Property Insurance,Contents Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-5E3229F593,Insurance,Insurance,Household and Commercial Property Insurance,Home Emergency Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-5FA4E25C87,Insurance,Insurance,Household and Commercial Property Insurance,Household Warranties,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-EBA67D895C,Insurance,Insurance,Household and Commercial Property Insurance,Marine Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-8765835D08,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Business Protection Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-6474330ADB,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Card Protection Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-8841B0D6FD,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Commercial Legal Expenses Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-1E7CA05E4D,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Covenant Indemnity Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-7C2E7E0CEC,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Legal Expenses Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-07766DBC6E,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Rent Protection Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-BEA4D59618,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Special Event Insurance (Non wedding Insurance),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-A4118B4054,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Special Event Insurance (Wedding Insurance),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-3BAF27E31D,Insurance,Insurance,Legal Expenses and Monetary Loss Insurance,Tax Liability Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-97FF8B4A94,Insurance,Insurance,Life and Critical Illness Cover,,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-5ED895DA97,Insurance,Insurance,Life and Critical Illness Cover,Critical Illness Cover,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-FABAD78F65,Insurance,Insurance,Life and Critical Illness Cover,Family Income Plan,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-5ECC9BCD9E,Insurance,Insurance,Life and Critical Illness Cover,Term Assurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-33961ECB8C,Insurance,Insurance,Life and Critical Illness Cover,Whole of life Assurance (Non-reviewable),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-8093652292,Insurance,Insurance,Life and Critical Illness Cover,Whole of life Assurance (Reviewable),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-3A65C97A31,Insurance,Insurance,Medical and Travel Insurance,Income Protection Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-1172C44710,Insurance,Insurance,Medical and Travel Insurance,Long Term Care Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-DB5F6C40F5,Insurance,Insurance,Medical and Travel Insurance,Personal Accident Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-0DB602628E,Insurance,Insurance,Medical and Travel Insurance,Private Medical or Dental Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-794BCEBA26,Insurance,Insurance,Medical and Travel Insurance,Travel Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-1812DBBB83,Insurance,Insurance,Motor Insurance,Car or Motorcycle Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-E8154A9414,Insurance,Insurance,Motor Insurance,Caravan insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-96A97B68E5,Insurance,Insurance,Motor Insurance,Commercial Vehicle Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-54A30C4DB4,Insurance,Insurance,Motor Insurance,GAP (Guaranteed Asset Protection Insurance),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-B64D2A8A6F,Insurance,Insurance,Motor Insurance,Motor Warranties,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-4057A5D64F,Insurance,Insurance,Motor Insurance,Roadside Assistance Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-C96264F016,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Business Loan),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-E01198CA5E,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Catalogue Shopping),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-2E9C2FE813,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Credit Card),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-AE5904000A,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Hire Purchase),consumer_credit,consumer_credit_keyword,pending_review,,,,
FOS-D6017A6241,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Mortgage),home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-2A97AEB3F2,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Overdraft),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-7D3A061E0E,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Personal Loan),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-19885A9307,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Secured Loan - not a mortgage),home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-487F7F39D9,Insurance,Insurance,PPI (Payment Protection Insurance),PPI (Store Card),insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-B986218DB4,Insurance,Insurance,Personal Belongings Insurance (Standalone),Bicycle Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-7531B54F55,Insurance,Insurance,Personal Belongings Insurance (Standalone),Gadget Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-5DA5C26FE0,Insurance,Insurance,Personal Belongings Insurance (Standalone),Golf Equipment Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-D01CC45F96,Insurance,Insurance,Personal Belongings Insurance (Standalone),Jewellery Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-7C83E13626,Insurance,Insurance,Personal Belongings Insurance (Standalone),Military Kit Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-906BAC040F,Insurance,Insurance,Personal Belongings Insurance (Standalone),Mobile Phone Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-1BD513C4EC,Insurance,Insurance,Personal Belongings Insurance (Standalone),Musical Instrument Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-2361211E51,Insurance,Insurance,Personal Belongings Insurance (Standalone),Photography Equipment Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-4C2D9ACD08,Insurance,Insurance,Personal Belongings Insurance (Standalone),Workman's Tools Insurance,insurance_and_pure_protection,insurance_or_protection_keyword,pending_review,,,,
FOS-187DFAF11F,Investments,Investments,Bonds and Non-Deposit Savings Plans,Children's Savings Plans,investments,investment_keyword,pending_review,,,,
FOS-4B7477C946,Investments,Investments,Bonds and Non-Deposit Savings Plans,Corporate Bonds,investments,investment_keyword,pending_review,,,,
FOS-593A9DAC9B,Investments,Investments,Bonds and Non-Deposit Savings Plans,Fixed Rate Bonds,investments,investment_keyword,pending_review,,,,
FOS-4314916DED,Investments,Investments,Bonds and Non-Deposit Savings Plans,Long Term Care Bonds,investments,investment_keyword,pending_review,,,,
FOS-9ACE75E6C0,Investments,Investments,Bonds and Non-Deposit Savings Plans,Mini-bonds,investments,investment_keyword,pending_review,,,,
FOS-CD2A509496,Investments,Investments,Bonds and Non-Deposit Savings Plans,Offshore Bonds,investments,investment_keyword,pending_review,,,,
FOS-5CCB7F0CA4,Investments,Investments,Bonds and Non-Deposit Savings Plans,Treasury Bonds,investments,investment_keyword,pending_review,,,,
FOS-3F5A800D0F,Investments,Investments,Bonds and Non-Deposit Savings Plans,Unit Linked Bonds,investments,investment_keyword,pending_review,,,,
FOS-B84D01A7E7,Investments,Investments,Bonds and Non-Deposit Savings Plans,With-profits Bonds,investments,investment_keyword,pending_review,,,,
FOS-9F71F4FAB6,Investments,Investments,Derivatives,CFDs (Contracts for Difference),investments,investment_keyword,pending_review,,,,
FOS-4FD0415F55,Investments,Investments,Derivatives,Interest Rate Hedge,investments,investment_keyword,pending_review,,,,
FOS-8359A81C21,Investments,Investments,Derivatives,Rolling Spot Forex,investments,investment_keyword,pending_review,,,,
FOS-10D7EE6D18,Investments,Investments,Derivatives,Spread Betting,investments,investment_keyword,pending_review,,,,
FOS-A1C5FBEE37,Investments,Investments,Endowments,Endowment Plans (Unit Linked),investments,investment_keyword,pending_review,,,,
FOS-7DCF1712DA,Investments,Investments,Endowments,Endowment Plans (With-profits),investments,investment_keyword,pending_review,,,,
FOS-86C5B8D516,Investments,Investments,Endowments,Mortgage Endowments (Unit Linked),home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-A59A813EE2,Investments,Investments,Endowments,Mortgage Endowments (With-profits),home_finance,mortgage_or_home_finance_keyword,pending_review,,,,
FOS-E77F4A0EDD,Investments,Investments,Endowments,Traded Endowments,investments,investment_keyword,pending_review,,,,
FOS-73549A3EBA,Investments,Investments,ISAs and PEPs,Innovative Finance ISA,investments,investment_keyword,pending_review,,,,
FOS-6CEE9A4FEC,Investments,Investments,ISAs and PEPs,Lifetime ISA (investment only),investments,investment_keyword,pending_review,,,,
FOS-2D5E9D8BCC,Investments,Investments,ISAs and PEPs,PEPs (Personal Equity Plan),investments,investment_keyword,pending_review,,,,
FOS-428A94F53B,Investments,Investments,ISAs and PEPs,Stocks and Shares ISA,investments,investment_keyword,pending_review,,,,
FOS-431E9D8347,Investments,Investments,Investment Funds,Exchange Traded Funds,investments,investment_keyword,pending_review,,,,
FOS-B882FA9E91,Investments,Investments,Investment Funds,Investment Trusts,investments,investment_keyword,pending_review,,,,
FOS-36A08E86FE,Investments,Investments,Investment Funds,Non-Structured Periodically Guaranteed Funds,investments,investment_keyword,pending_review,,,,
FOS-59AC2ECCD5,Investments,Investments,Investment Funds,OEICs (Open-ended Investment Companies),investments,investment_keyword,pending_review,,,,
FOS-71C73099DD,Investments,Investments,Investment Funds,Unit Trusts,investments,investment_keyword,pending_review,,,,
FOS-1FC965742D,Investments,Investments,Mixed Investment Portfolios,Advisory Service,investments,investment_keyword,pending_review,,,,
FOS-A31F6CF9D5,Investments,Investments,Mixed Investment Portfolios,Discretionary Service,investments,investment_keyword,pending_review,,,,
FOS-B577A1C908,Investments,Investments,Non-mainstream Investments,Business Relief,investments,investment_keyword,pending_review,,,,
FOS-65F03F61A0,Investments,Investments,Non-mainstream Investments,Crowdfunding (Investment-based),investments,investment_keyword,pending_review,,,,
FOS-D5BA78E2D7,Investments,Investments,Non-mainstream Investments,Direct Property Investments,investments,investment_keyword,pending_review,,,,
FOS-4074845FFB,Investments,Investments,Non-mainstream Investments,EIS (Enterprise Investment Scheme),investments,investment_keyword,pending_review,,,,
FOS-E62F2C5B08,Investments,Investments,Non-mainstream Investments,Partnerships,investments,investment_keyword,pending_review,,,,
FOS-CE01010EF3,Investments,Investments,Non-mainstream Investments,Peer to peer lending (lending money),investments,investment_keyword,pending_review,,,,
FOS-E0F7BF835E,Investments,Investments,Non-mainstream Investments,UCIS (Unregulated Collective Investment Scheme),investments,investment_keyword,pending_review,,,,
FOS-B0FF01CCB2,Investments,Investments,Stocks and Shares,Employee Share Scheme,investments,investment_keyword,pending_review,,,,
FOS-578CBFCE59,Investments,Investments,Stocks and Shares,Registrar Services,investments,investment_keyword,pending_review,,,,
FOS-8CFC567381,Investments,Investments,Stocks and Shares,Share Dealings,investments,investment_keyword,pending_review,,,,
FOS-F0249119BF,Investments,Investments,Structured Investments,,investments,investment_keyword,pending_review,,,,
FOS-C92CA050AB,Investments,Investments,Structured Investments,Capital Protected Structured Products,investments,investment_keyword,pending_review,,,,
FOS-E81E23A5C4,Investments,Investments,Structured Investments,SCARPs (Structured Capital at Risk Products),investments,investment_keyword,pending_review,,,,
